image,line_stat,bill_cycl,serv_type,serv_code,tenure,contract_month,ce_expiry,secured_revenue,bandwidth,term_reas_code,term_reas_desc,complaint_cnt,with_phone_service,Churn,effc_strt_date_year,effc_strt_date_month,effc_strt_date_day,effc_end_date_year,effc_end_date_month,effc_end_date_day
201801,AC,1,BBS,PF100DUN,7,24,17,276,100M (FTTO),,,0,N,N,2019,5,7,2021,4,7
201801,AC,1,BBS,VS100FSN,7,24,16,258,100M,,,0,N,N,2019,1,6,2021,5,31
201801,AC,1,BBS,VS100DUN,6,30,-1,148,100M,,,0,N,N,2017,7,24,2020,1,23
201801,AC,1,BBS,VS100DUN,4,28,20,90,100M,,,0,N,N,2019,6,6,2021,5,10
201801,AC,1,BBS,PF100DUN,8,24,16,140,100M (FTTO),,,0,N,N,2019,6,13,2021,12,6
201801,AC,1,BBS,VS100DUN,4,24,-4,90,100M,,,0,N,Y,2017,10,16,2019,10,15
201801,AC,1,BBS,VS100DUN,8,24,16,140,100M,,,0,N,N,2019,6,15,2021,6,14
201801,AC,1,BBS,VS100DUN,8,24,-8,178,100M,,,0,N,Y,2017,6,14,2019,6,13
201801,AC,1,BBS,VS100DUN,7,24,-20,300,100M,,,0,N,Y,2017,3,7,2019,2,7
201801,AC,1,BBS,VS100DUN,7,24,-20,300,100M,,,0,N,Y,2017,3,7,2019,2,7
201801,AC,1,BBS,PF100DUN,8,24,16,178,100M (FTTO),,,0,N,N,2019,12,6,2021,11,6
201801,AC,1,BBS,VS100FSN,7,36,-12,998,100M,,,0,N,Y,2017,6,19,2020,6,18
201801,AC,1,BBS,VS100DUN,8,24,-8,140,100M,,,0,N,Y,2017,6,13,2019,12,6
201801,AC,1,BBS,PF100DUN,8,36,4,169,100M (FTTO),,,0,N,N,2017,6,15,2020,6,14
201801,AC,1,BBS,VS100DUN,7,24,17,1378,100M,,,0,N,N,2019,4,7,2021,3,7
201801,AC,1,BBS,PF300F6N,7,24,17,1378,300M (FTTO),,,0,N,N,2019,6,7,2021,5,7
201801,AC,1,BBS,PF100DUN,7,24,-8,198,100M (FTTO),,,0,N,Y,2017,6,20,2019,6,19
201801,AC,1,BBS,VS100DUN,7,12,5,190,100M,,,0,N,N,2019,6,27,2020,6,26
201801,AC,1,BBS,ES100DUN,7,24,17,90,100M,,,0,N,N,2019,6,27,2021,6,26
201801,AC,1,BBS,VS100FSN,7,24,17,198,100M,,,0,N,N,2019,6,27,2021,6,26
201801,AC,1,BBS,VS100DUN,3,24,-3,90,100M,,,0,N,Y,2017,4,11,2019,3,11
201801,AC,1,BBS,VS100FSR,172,24,12,354,100M,,,0,N,N,2019,2,21,2021,2,20
201801,AC,1,BBS,PF100FSN,7,24,17,250,100M (FTTO),,,0,N,N,2019,6,29,2021,6,28
201801,AC,1,BBS,PF100FSN,5,24,19,7280,100M (FTTO),,,0,N,N,2019,11,9,2021,10,9
201801,AC,1,BBS,PF1000DUH,1,24,-2,600,1000M (FTTO),,,0,N,N,2017,12,20,2019,12,19
201801,AC,1,BBS,PF100FSN,7,24,-7,198,100M (FTTO),,,0,N,Y,2017,7,7,2019,6,7
201801,AC,1,BBS,PF100FSN,6,30,0,250,100M (FTTO),,,0,N,N,2017,2,8,2020,1,2
201801,AC,1,BBS,PF100FSN,7,24,-8,319,100M (FTTO),,,0,N,N,2017,6,23,2019,6,22
201801,AC,1,BBS,VS030DUN,8,24,16,130,30M,,,0,N,N,2019,1,6,2021,5,31
201801,AC,1,BBS,VS100DUN,8,24,16,168,100M,,,0,N,N,2019,6,16,2021,6,15
201801,AC,1,BBS,VS100DUN,7,24,17,120,100M,,,0,N,N,2019,7,13,2021,12,7
201801,AC,1,BBS,PF100DUN,7,24,-7,140,100M (FTTO),,,0,N,Y,2017,7,7,2019,6,7
201801,AC,1,BBS,VS030DUN,6,24,18,130,30M,,,0,N,N,2019,1,8,2021,7,31
201801,AC,1,BBS,PF1000F6N,7,36,4,850,1000M (FTTO),,,0,N,N,2017,6,17,2020,6,16
201801,AC,1,BBS,VS100DUN,8,24,-8,140,100M,,,0,N,Y,2017,6,15,2019,6,14
201801,AC,1,BBS,VS100DUN,8,24,16,188,100M,,,0,N,N,2019,6,16,2021,6,15
201801,AC,1,BBS,VS100DUN,8,24,-8,178,100M,,,0,N,Y,2017,6,16,2019,6,15
201801,AC,1,BBS,EPXMXMDUXX,7,24,16,136,10M,,,0,N,N,2019,6,24,2021,6,23
201801,AC,1,BBS,PF100DUN,7,24,-8,115,100M (FTTO),,,0,N,Y,2017,6,23,2019,6,22
201801,AC,1,BBS,VS100DUN,7,24,16,90,100M,,,0,N,N,2019,6,20,2021,6,19
201801,AC,1,BBS,ES100FSN,8,24,16,250,100M,,,0,N,N,2019,6,16,2021,6,15
201801,AC,1,BBS,ES100FSN,3,24,20,250,100M,,,0,N,N,2019,10,26,2021,10,25
201801,AC,1,BBS,VPXMXMDUXX,7,24,16,163,10M,,,0,N,N,2019,6,23,2021,6,22
201801,AC,1,BBS,VPXMXMDUXX,7,24,17,138,10M,,,0,N,N,2019,7,14,2021,7,13
201801,AC,1,BBS,PF100DUN,6,12,11,268,100M (FTTO),,,0,N,N,2020,1,22,2021,1,21
201801,AC,1,BBS,PF300DUN,7,24,7,190,300M (FTTO),,,0,N,N,2018,9,22,2020,9,21
201801,AC,1,BBS,PF100DUN,8,24,16,140,100M (FTTO),,,0,N,N,2019,6,16,2021,6,15
201801,AC,1,BBS,VS100DUN,8,24,16,140,100M,,,0,N,N,2019,6,16,2021,6,15
201801,IS,1,BBS,VS100FSN,7,24,-8,198,100M,,,0,N,Y,2017,6,21,2019,6,20
201801,AC,1,BBS,VPXMXMDUXX,7,24,17,120,10M,,,0,N,N,2019,6,28,2021,6,27
201801,AC,1,BBS,VS100DUN,7,24,-14,160,100M,,,0,N,Y,2017,6,22,2019,6,21
201801,AC,1,BBS,VS100DUN,8,30,-2,148,100M,,,0,N,Y,2017,6,16,2019,12,15
201801,AC,1,BBS,VS100DUN,7,24,16,202,100M,,,0,N,N,2019,1,6,2021,5,31
201801,AC,1,BBS,PF100DUP,7,24,16,148,100M (FTTO),,,0,N,N,2019,6,20,2021,6,19
201801,AC,1,BBS,PF1000DUN,7,24,17,482,1000M (FTTO),,,0,N,N,2019,1,7,2021,6,30
201801,AC,1,BBS,VS100FSN,7,24,17,354,100M,,,0,N,N,2019,7,15,2021,7,14
201801,AC,1,BBS,VS100FSN,6,36,6,298,100M,,,0,N,N,2017,2,8,2020,1,8
201801,AC,1,BBS,VS100DUN,8,24,-8,225,100M,,,0,N,Y,2017,6,16,2019,6,15
201801,AC,1,BBS,VPXMXMDUXX,7,24,16,163,10M,,,0,N,N,2019,6,26,2021,6,25
201801,AC,1,BBS,PF100DUN,7,34,18,140,100M (FTTO),,,0,N,N,2018,9,27,2021,7,26
201801,CN,1,BBS,VS030DUN,7,24,-24,160,30M,OT,(R) Overdue Termination: Involuntary termination by credit control,0,N,Y,2017,6,19,2019,6,18
201801,AC,1,BBS,ES100DUN,6,24,-20,288,100M,,,0,N,Y,2017,7,24,2019,7,23
201801,AC,1,BBS,ES100DUN,7,24,-8,140,100M,,,0,N,Y,2017,6,20,2019,6,19
201801,AC,1,BBS,EPXMXMDUXX,7,24,17,138,10M,,,0,N,N,2019,6,27,2021,6,26
201801,AC,1,BBS,PF100DUN,7,24,17,118,100M (FTTO),,,0,N,N,2019,6,27,2021,6,26
201801,AC,1,BBS,VS100DUN,7,24,16,90,100M,,,0,N,N,2019,6,20,2021,6,19
201801,AC,1,BBS,VS100DUN,7,24,16,140,100M,,,0,N,N,2019,6,20,2021,6,19
201801,AC,1,BBS,PF100DUN,7,24,-8,225,100M (FTTO),,,0,N,Y,2017,6,21,2019,6,20
201801,AC,1,BBS,PF1000FSH,6,24,18,6200,1000M (FTTO),,,0,N,N,2019,10,8,2021,9,8
201801,AC,1,BBS,VS100FSN,6,24,18,302,100M,,,0,N,N,2019,2,8,2021,1,8
201801,IS,1,BBS,VS100DUN,7,24,-19,140,100M,,,0,N,Y,2017,6,23,2019,6,22
201801,AC,1,BBS,VS100DUN,7,24,-20,140,100M,,,0,N,Y,2017,6,20,2019,6,19
201801,AC,1,BBS,VS100FSN,7,24,17,288,100M,,,0,N,N,2019,6,7,2021,5,7
201801,AC,1,BBS,VS100DUN,7,24,-8,178,100M,,,0,N,Y,2017,6,21,2019,6,20
201801,AC,1,BBS,VPXMXMDUXX,7,24,-7,163,10M,,,0,N,Y,2017,5,7,2019,4,7
201801,AC,1,BBS,PF1000DUN,7,24,-7,360,1000M (FTTO),,,0,N,Y,2017,3,7,2019,2,7
201801,AC,1,BBS,VS100DUN,7,24,17,178,100M,,,0,N,N,2019,6,7,2021,5,7
201801,AC,1,BBS,PF100DUN,7,24,17,335,100M (FTTO),,,1,N,N,2019,7,7,2021,6,7
201801,AC,1,BBS,PF1000DUN,7,24,-8,384,1000M (FTTO),,,0,N,Y,2017,6,21,2019,6,20
201801,AC,1,BBS,VS100DUN,7,24,17,90,100M,,,0,N,N,2019,6,7,2021,5,7
201801,AC,1,BBS,PF100DUN,7,24,-8,180,100M (FTTO),,,0,N,Y,2017,6,23,2019,6,22
201801,AC,1,BBS,PF100FSN,6,24,-7,198,100M (FTTO),,,0,N,Y,2017,7,21,2019,7,20
201801,AC,1,BBS,ES030DUN,5,24,18,163,30M,,,0,N,N,2019,8,26,2021,8,25
201801,AC,1,BBS,VPXMXMDUXX,7,24,-7,120,10M,,,0,N,N,2017,6,28,2019,6,27
201801,AC,1,BBS,ES100FSN,7,24,17,250,100M,,,0,N,N,2019,6,27,2021,6,26
201801,AC,1,BBS,VS100FSN,7,24,-7,250,100M,,,0,N,Y,2017,6,29,2019,6,28
201801,AC,1,BBS,PF500DUN,7,24,-9,270,500M (FTTO),,,0,N,Y,2017,6,22,2019,6,21
201801,AC,1,BBS,VS100DUN,7,24,-7,140,100M,,,0,N,Y,2017,6,27,2019,6,26
201801,AC,1,BBS,VS100DUN,7,24,17,90,100M,,,0,N,N,2019,6,29,2021,6,28
201801,AC,1,BBS,PF100DUP,7,24,17,90,100M (FTTO),,,0,N,N,2019,7,14,2021,7,13
201801,AC,1,BBS,VS100DUN,6,24,18,90,100M,,,0,N,N,2019,1,8,2021,7,31
201801,AC,1,BBS,PF100DUN,7,36,5,248,100M (FTTO),,,0,N,N,2017,12,7,2020,11,7
201801,AC,1,BBS,VAXMXMFSXX,6,24,-6,169,10M,,,0,N,Y,2017,7,8,2019,6,8
201801,AC,1,BBS,ES100FSN,6,24,18,319,100M,,,0,N,N,2019,7,29,2021,7,28
201801,AC,1,BBS,VS100DUN,7,24,-8,198,100M,,,0,N,Y,2017,6,29,2019,6,28
201801,AC,1,BBS,VS100FSN,7,24,17,250,100M,,,0,N,N,2019,6,30,2021,6,29
201801,AC,1,BBS,VS100DUN,6,24,-6,90,100M,,,0,N,Y,2017,12,8,2019,11,8
201801,AC,1,BBS,VS100FSN,7,24,17,280,100M,,,0,N,N,2019,3,7,2021,2,7
201801,AC,1,BBS,VS100FSN,7,24,-7,158,100M,,,0,N,Y,2017,6,29,2019,6,28
201801,AC,1,BBS,VS100FSN,7,24,17,250,100M,,,0,N,N,2019,5,7,2021,4,7
201801,AC,1,BBS,VS100FSN,7,24,17,250,100M,,,0,N,N,2019,5,7,2021,4,7
201801,IS,1,BBS,ES100DUN,7,24,-20,196,100M,,,0,N,Y,2017,6,26,2019,6,25
201801,AC,1,BBS,VS100DUN,7,24,-23,168,100M,,,0,N,Y,2017,6,28,2019,6,27
201801,AC,1,BBS,VS100DUN,7,24,-16,140,100M,,,0,N,Y,2017,6,26,2019,6,25
201801,AC,1,BBS,PF1000DUP,5,24,18,388,1000M (FTTO),,,0,N,N,2019,8,18,2021,8,17
201801,AC,1,BBS,PF100FSN,4,24,20,1080,100M (FTTO),,,0,N,N,2019,9,10,2021,8,10
201801,AC,1,BBS,PF100DUN,6,24,-15,95,100M (FTTO),,,0,N,Y,2017,7,18,2019,7,17
201801,AC,1,BBS,PF100FSN,6,36,5,1500,100M (FTTO),,,0,N,N,2017,7,18,2020,7,17
201801,AC,1,BBS,VS100DUN,7,24,-7,178,100M,,,0,N,Y,2017,6,28,2019,6,27
201801,AC,1,BBS,VS100DUN,7,24,17,178,100M,,,0,N,N,2019,6,28,2021,6,27
201801,AC,1,BBS,PF1000F6N,6,34,-4,1322,1000M (FTTO),,,0,N,Y,2017,7,24,2020,5,23
201801,AC,1,BBS,PF100DUN,7,12,-19,450,100M (FTTO),,,0,N,Y,2017,7,14,2018,7,13
201801,AC,1,BBS,VS100DUN,7,24,-7,140,100M,,,0,N,N,2017,3,7,2019,2,7
201801,AC,1,BBS,VS100DUN,7,24,17,140,100M,,,0,N,N,2019,6,27,2021,6,26
201801,AC,1,BBS,VS100DUSA,6,24,18,90,100M,,,0,N,N,2019,2,8,2021,1,8
201801,AC,1,BBS,PF100FSN,7,24,-7,385,100M (FTTO),,,0,N,Y,2017,4,7,2019,3,7
201801,AC,1,BBS,PF1000FSN,7,24,17,798,1000M (FTTO),,,0,N,N,2019,10,7,2021,9,7
201801,AC,1,BBS,PF100DUN,7,24,17,90,100M (FTTO),,,0,N,N,2019,6,29,2021,6,28
201801,AC,1,BBS,ES100DUN,7,24,-7,90,100M,,,0,N,N,2017,6,30,2019,6,29
201801,AC,1,BBS,VS100DUN,7,24,17,178,100M,,,0,N,N,2019,5,7,2021,4,7
201801,AC,1,BBS,VS100DUN,7,36,5,253,100M,,,0,N,N,2017,7,7,2020,6,7
201801,CN,1,BBS,VPXMXMDUXX,6,30,-25,248,10M,REV,Relocate to non-coverage(w/prof),0,N,Y,2017,11,8,2020,10,2
201801,AC,1,BBS,ES100DUN,7,12,-19,224,100M,,,0,N,Y,2017,6,30,2018,6,29
201801,AC,1,BBS,VS100DUN,7,24,-18,140,100M,,,0,N,Y,2017,7,7,2019,6,7
201801,AC,1,BBS,VS100FSN,7,24,17,120,100M,,,0,N,N,2019,5,7,2021,4,7
201801,AC,1,BBS,PF1000DUN,2,60,33,1400,1000M (FTTO),,,0,N,N,2017,11,23,2022,11,22
201801,AC,1,BBS,VS100DUN,6,18,11,198,100M,,,0,N,N,2019,7,17,2021,1,16
201801,AC,1,BBS,PF100DUN,7,24,-17,384,100M (FTTO),,,0,N,Y,2017,3,7,2019,2,7
201801,AC,1,BBS,PF500DUN,7,24,-17,384,500M (FTTO),,,0,N,Y,2017,4,7,2019,3,7
201801,AC,1,BBS,PF100F6N,7,24,-1,5637.87,100M (FTTO),,,0,N,N,2018,6,1,2020,5,1
201801,AC,1,BBS,VS100DUN,7,24,17,198,100M,,,0,N,N,2019,6,29,2021,6,28
201801,AC,1,BBS,VS100DUN,7,24,-7,160,100M,,,0,N,Y,2017,6,29,2019,6,28
201801,AC,1,BBS,VS100DUN,7,24,-7,90,100M,,,0,N,Y,2017,6,30,2019,6,29
201801,AC,1,BBS,VS100DUN,6,24,-23,90,100M,,,0,N,Y,2017,7,26,2019,7,25
201801,AC,1,BBS,VS100DUN,6,24,18,90,100M,,,0,N,N,2019,11,8,2021,10,8
201801,AC,1,BBS,PF1000FSN,7,24,17,610,1000M (FTTO),,,0,N,N,2019,7,13,2021,12,7
201801,AC,1,BBS,VS100FSN,7,24,-7,198,100M,,,0,N,Y,2017,7,7,2019,6,7
201801,AC,1,BBS,VPXMXMDUXX,7,24,-8,120,10M,,,0,N,N,2017,6,30,2019,6,29
201801,AC,1,BBS,VS100DUN,7,24,17,280,100M,,,0,N,N,2019,4,7,2021,3,7
201801,AC,1,BBS,VS100DUN,4,24,-5,280,100M,,,0,N,Y,2017,9,19,2019,9,18
201801,AC,1,BBS,VPXMXMDUXX,7,38,18,128,10M,,,0,N,N,2018,6,16,2021,8,15
201801,AC,1,BBS,PF100DUN,7,24,-7,90,100M (FTTO),,,0,N,Y,2017,3,7,2019,2,7
201801,IS,1,BBS,VS030DUN,7,24,17,137,30M,,,0,N,N,2019,4,7,2021,3,7
201801,AC,1,BBS,VS100DUN,7,24,17,200,100M,,,0,N,N,2019,12,7,2021,11,7
201801,AC,1,BBS,PF100DUN,7,24,-7,140,100M (FTTO),,,0,N,Y,2017,7,7,2019,6,7
201801,AC,1,BBS,VS100DUN,6,24,17,208,100M,,,0,N,N,2019,7,20,2021,7,19
201801,IS,1,BBS,VS100DUN,7,24,17,90,100M,,,0,N,N,2019,5,7,2021,4,7
201801,AC,1,BBS,PF100DUN,7,24,17,90,100M (FTTO),,,0,N,N,2019,6,7,2021,5,7
201801,AC,1,BBS,VS100FSN,6,12,5,260,100M,,,0,N,N,2019,7,18,2020,7,17
201801,AC,1,BBS,PF100FSN,7,24,18,158,100M (FTTO),,,0,N,N,2019,1,8,2021,7,31
201801,AC,1,BBS,PF100FSN,6,36,29,370,100M (FTTO),,,0,N,N,2019,6,28,2022,6,27
201801,AC,1,BBS,VS100DUN,7,24,17,178,100M,,,0,N,N,2019,12,7,2021,11,7
201801,AC,1,BBS,VS100DUN,6,12,5,140,100M,,,0,N,N,2019,7,22,2020,7,21
201801,AC,1,BBS,VS100DUN,6,24,-23,90,100M,,,0,N,Y,2017,1,8,2019,7,31
201801,AC,1,BBS,VS100FSN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100FSN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100FSN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100FSN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100FSN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,VS100DUN,6,24,12,2400,100M,,,0,N,N,2019,8,2,2021,7,2
201801,AC,1,BBS,PF100DUP,5,24,19,90,100M (FTTO),,,0,N,N,2019,1,9,2021,8,31
201801,AC,1,BBS,PF100DUN,5,24,18,158,100M (FTTO),,,0,N,N,2019,8,21,2021,8,20
201801,AC,1,BBS,VS100DUN,7,24,17,135,100M,,,0,N,N,2019,6,7,2021,5,7
201801,AC,1,BBS,PF1000FSN,1,24,22,0,1000M (FTTO),,,0,N,N,2019,1,12,2021,11,30
201801,AC,1,BBS,VS100DUN,7,24,-14,140,100M,,,0,N,Y,2017,6,7,2019,5,7
201801,AC,1,BBS,VPXMXMDUXX,5,36,7,330,10M,,,0,N,N,2017,2,9,2020,1,9
201801,AC,1,BBS,VS100DUN,5,36,6,330,100M,,,0,N,N,2017,8,22,2020,8,21
201801,AC,1,BBS,PF500FSN,6,36,29,830,500M (FTTO),,,0,N,N,2019,7,20,2022,7,19
201801,AC,1,BBS,PF1000DUN,6,36,-14,820,1000M (FTTO),,,0,N,Y,2017,7,8,2020,6,8
201801,AC,1,BBS,VS100DUN,6,24,17,178,100M,,,0,N,N,2019,7,19,2021,7,18
201801,AC,1,BBS,VS100DUN,6,24,-7,90,100M,,,0,N,Y,2017,7,21,2019,7,20
201801,AC,1,BBS,PF100FSN,6,36,6,237,100M (FTTO),,,0,N,N,2017,8,16,2020,8,15
201801,AC,1,BBS,VS100DUN,7,24,-7,140,100M,,,0,N,Y,2017,7,7,2019,6,7
201801,AC,1,BBS,VS100FSN,7,24,-7,253,100M,,,0,N,Y,2017,7,14,2019,7,13
